"Average time all patients waited for first assessment by a doctor in emergency, by hospital,  202501 to 202601"
Average Time

Hospital Name: St. Mary's General Hospital
"Month",Ontario (Hours),St. Mary's General Hospital (Hours)
"202501","2.2","2.9"
"202502","2.1","2.4"
"202503","2","2.4"
"202504","2","2"
"202505","2","2.1"
"202506","1.9","2.3"
"202507","2","2.4"
"202508","1.9","2.9"
"202509","2","2.3"
"202510","1.9","2.5"
"202511","1.8","1.9"
"202512","2.1","2.8"
"202601","1.7","1.9"

TECHNICAL INFORMATION
"Data source: National Ambulatory Care Reporting System (NACRS), Canadian Institute for Health Information (CIHI). For more information, please visit the Indicator Library for the technical description of Wait Time to First Assessment in Emergency indicator (average time and volume) and Length of Stay in Emergency indicators (average time, volume, and percentage within target). " "Please note that as of the December 2025 data refresh, 43 additional sites have been added to the current and historical emergency department public reporting. Data exported after this time should not be compared to any data exported earlier."

